epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1358.54,0.59073,8.55943,1.04452,0.77548,0.58209,0.65155,0.33467,1.25742,15.831,1.70004,0.000661616,0.000661616,0.000661616
2,3108.68,0.8853,6.13426,1.26345,0.81999,0.54726,0.63484,0.44013,1.17071,13.0736,1.66813,0.00119678,0.00119678,0.00119678
3,4533.16,1.00081,4.16319,1.35579,0.30644,0.34328,0.21532,0.11203,1.75042,5.75894,2.61377,0.00159995,0.00159995,0.00159995
4,5942.21,1.00316,2.87948,1.39807,0.70032,0.53234,0.55542,0.4012,1.26734,3.59953,1.60931,0.001406,0.001406,0.001406
5,7475.17,0.96654,2.06455,1.34779,0.85083,0.58706,0.69779,0.55274,1.22666,3.14849,1.56985,0.001208,0.001208,0.001208
6,9072.98,0.81713,1.59851,1.20816,0.85456,0.69154,0.77948,0.65013,0.94494,2.208,1.20103,0.00101,0.00101,0.00101
7,10703.9,0.74021,1.73596,1.14364,0.94772,0.62189,0.76254,0.64115,0.96799,2.12765,1.1951,0.000812,0.000812,0.000812
8,11999.2,0.63977,1.27579,1.03961,0.93538,0.78109,0.86045,0.74795,0.84649,1.60295,1.10777,0.000614,0.000614,0.000614
9,13257,0.51121,1.21259,0.95886,0.96812,0.75544,0.86828,0.78707,0.71522,1.50233,0.99579,0.000416,0.000416,0.000416
10,14508.8,0.54903,1.09639,0.99164,0.95206,0.79049,0.8858,0.81328,0.66736,1.26982,0.96257,0.000218,0.000218,0.000218
